Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Year
109;Amir Coffey;SG;24;LAC;69;30;22.7;3.1;6.8;0.453;1.4;3.7;0.378;1.7;3.1;0.542;0.556;1.5;1.7;0.863;0.4;2.5;2.9;1.8;0.6;0.2;0.7;1.3;9.0;2021-2022
110;John Collins;PF;24;ATL;54;53;30.8;6.3;11.9;0.526;1.2;3.3;0.364;5.1;8.7;0.588;0.576;2.5;3.1;0.793;1.7;6.1;7.8;1.8;0.6;1.0;1.1;3.0;16.2;2021-2022
111;Zach Collins;PF;24;SAS;28;4;17.9;2.7;5.5;0.49;0.5;1.5;0.341;2.2;4.1;0.544;0.535;1.9;2.3;0.8;1.6;3.8;5.5;2.2;0.5;0.8;1.6;2.4;7.8;2021-2022
112;Darren Collison;PG;34;LAL;3;0;12.3;0.7;2.3;0.286;0.0;1.0;0.0;0.7;1.3;0.5;0.286;0.0;0.0;0.0;0.0;1.3;1.3;0.7;0.3;0.0;0.3;1.7;1.3;2021-2022
113;Mike Conley;PG;34;UTA;72;72;28.6;4.8;11.0;0.435;2.3;5.8;0.408;2.4;5.2;0.464;0.542;1.8;2.3;0.796;0.7;2.4;3.0;5.3;1.3;0.3;1.7;2.0;13.7;2021-2022
114;Pat Connaughton;SG;29;MIL;65;19;26.0;3.5;7.6;0.458;2.2;5.7;0.395;1.2;1.9;0.643;0.605;0.7;0.8;0.833;0.7;3.5;4.2;1.3;0.9;0.2;0.5;1.3;9.9;2021-2022
115;Tyler Cook;PF;24;CHI;20;2;10.0;1.2;1.9;0.605;0.0;0.0;0.0;1.2;1.9;0.605;0.605;1.1;1.6;0.656;0.8;1.9;2.7;0.2;0.2;0.2;0.4;1.4;3.4;2021-2022
116;Sharife Cooper;PG;20;ATL;13;0;3.0;0.2;1.1;0.214;0.1;0.5;0.167;0.2;0.6;0.25;0.25;0.0;0.0;0.0;0.0;0.4;0.4;0.4;0.0;0.0;0.4;0.1;0.5;2021-2022
117;Petr Cornelie;PF;26;DEN;13;0;2.9;0.4;1.2;0.333;0.1;0.6;0.125;0.3;0.5;0.571;0.367;0.2;0.3;0.75;0.5;0.5;1.1;0.2;0.1;0.1;0.3;0.5;1.1;2021-2022
118;DeMarcus Cousins;C;31;TOT;48;7;15.0;3.1;6.8;0.46;0.8;2.5;0.303;2.3;4.2;0.554;0.517;2.0;2.6;0.76;1.5;4.1;5.6;1.5;0.7;0.4;1.8;2.9;9.0;2021-2022
